block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.423637,58449,2.167879,0.061199,0.700000,0.019761,3.065382,0.144242,0.004072,13.223215,0.000000,32.714546,0.923523,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.606667,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.048485,59480,2.167879,0.060138,0.719394,0.019956,2.982743,0.264848,0.007347,7.201660,0.000000,33.244850,0.922226,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.386667,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.029091,59448,2.167879,0.060170,0.761212,0.021128,2.818882,0.140606,0.003903,13.565196,0.000000,33.158787,0.920334,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.495152,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.017574,59429,2.167879,0.060189,0.449697,0.012485,4.771585,0.369697,0.010264,5.159222,0.000000,33.526062,0.930825,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.261212,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.892120,59222,2.167879,0.060400,0.378788,0.010554,5.664825,0.459394,0.012799,4.151880,0.000000,33.470303,0.932525,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.230909,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.270302,59846,2.167879,0.059770,0.433939,0.011964,4.944854,0.149091,0.004111,12.793192,0.000000,33.788486,0.931574,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.231515,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.961819,59337,2.167879,0.060283,0.467273,0.012994,4.592109,0.138788,0.003859,13.742905,0.000000,33.359394,0.927634,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.214545,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.196968,59725,2.167879,0.059891,0.504242,0.013931,4.255428,0.138788,0.003834,13.742905,0.000000,33.680000,0.930465,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.234545,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.159393,59663,2.167879,0.059953,0.423636,0.011716,5.065115,0.150909,0.004173,12.639057,0.000000,33.718788,0.932504,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.256364,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.443638,60132,2.167879,0.059486,0.490909,0.013470,4.371007,0.256364,0.007035,7.440013,0.000000,33.934544,0.931151,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.365454,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.410301,60077,2.167879,0.059540,0.386061,0.010603,5.558110,0.153333,0.004211,12.439230,0.000000,33.984241,0.933369,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.244848,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.356968,58339,2.167879,0.061314,0.573333,0.016216,3.742617,0.158788,0.004491,12.011929,0.000000,32.769695,0.926824,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.296970,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.569698,58690,2.167879,0.060947,0.623030,0.017516,3.444082,0.136364,0.003834,13.987223,0.000000,32.691517,0.919083,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.210909,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.647274,58818,2.167879,0.060815,0.706061,0.019807,3.039069,0.120000,0.003366,15.894573,0.000000,32.919998,0.923493,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.662424,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.560001,58674,2.167879,0.060964,0.598788,0.016839,3.583518,0.135758,0.003818,14.049666,0.000000,32.956970,0.926799,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.345454,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.601818,58743,2.167879,0.060892,0.746667,0.020973,2.873795,0.128485,0.003609,14.844931,0.000000,32.827877,0.922084,1.760000,3.670909,0.000000,0.000000,0.000000,0.000000,0.038788,2.500000,
